selection_manual_fix,weighted_votes
La Ville Des Pirates,1
La Ville Est Tranquille / The Town Is Quiet,1
La Voie Lactée,1
Labour Party General Election Social Media Launch Video,1
Lacombe Lucien,1
Ladies' Man,1
Lady Bird,1
Lagareh - The Last Born,1
Land And Freedom,1
Land Of Silence And Darkness,1
Land Without Bread,1
Land Without Evil,1
Laputa: Castle In The Sky,1
Last Night,1
Launch,1
Laura,1
Le Boucher,1
Le Chat Qui Joue,1
Le Crime De M. Lange,1
Le Genou D'artemide,1
Le Grand Jeu,1
Le Jour Se Lève,1
Le Plaisir,1
Le Pont Du Nord,1
Le Roi Et L'oiseau,1
Le Sang Des Bêtes,1
Le Temps Retrouve  / Time Regained,1
Leave No Trace,1
Lemonade (Beyoncé: Lemonade),1
Leon G. Damas,1
Les Diaboliques,1
Les Vacances De M. Hulot,1
Les Yeux Ne Veulent Pas En Tout Temps Se Fermer Ou Peut-Être Qu' Un Jour Rome Se Permettra De Choisir À Son Tour,1
Let Your Light Shine,1
Let's Get Lost,1
Let's Scare Jessica To Death,1
Letter To A Friend,1
Letyat Zhuravli,1
Leviathan: 2012,1
Leviathan: 2014,1
Light Reading,1
Lilo & Stitch,1
Little Fugitive,1
Little Miss Sunshine,1
Llacquiy Huata,1
Logan's Run,1
Lonesome,1
Look At Britain - 2  We Are The Lambeth Boys,1
Looking For Langston,1
Looper,1
Lore,1
