selection_manual_fix,weighted_votes
Ghatashraddha,1
Ghawre Bairey Aaj,1
"Ghazieh Shekl-E Aval, Ghazieh Shekl-E Dovvom",1
Gimme Shelter,1
Girl Friends,1
Gíron,1
Gletscher,1
Gloria: 1980,1
Golden Parable,1
Goldfinger,1
Gone Girl,1
Gone To Earth,1
Gong Fu,1
Gonin,1
Gratinirani Mozak Pupilije Ferkeverk,1
Gravity,1
Great Society,1
Greenberg,1
Gruppo Di Famiglia In Un Interno,1
Gûzen To Sôzô,1
Hairspray,1
Halloween,1
Hana To Arisu,1
Hana-Bi,1
Hand Movie,1
Handsworth Songs,1
Happiness,1
Happy End,1
Hard To Be A God,1
He Stands In A Desert Counting The Seconds Of His Life,1
Heimat - Eine Deutsche Chronik,1
Heimat: A Chronicle Of Germany,1
Heliu,1
Hellzapoppin',1
Helpmates,1
Henry Geldzahler,1
Henry V,1
Herr Arnes Pengar,1
Higanbana,1
High And Low,1
High Life,1
High Sierra,1
History Is Made At Night,1
Hitlerpinochet,1
Höhenfeuer,1
Home From The Hill,1
Homeland: Iraq Year Zero,1
"Horí, Má Panenko",1
Hors Chant,1
"Hotel Terminus (Klaus Barbie, His Life And Times)",1
Housekeeping,1
Hrst Plná Vody,1
Hsimeng Jensheng,1
Huang Tudi,1
Huangjin Shidai,1
Hukkle,1
Huono Filmi,1
Hurlements En Faveur De Sade,1
Hyu-Il (Holiday),1
I Know Where I'm Going!,1
I Pugni In Tasca,1
I Soliti Ignoti,1
I'm Not There.,1
Ignoti Alla Città,1
Il Caso Mattei,1
Il Fiore Delle Mille E Una Notte,1
Il Mulino Del Po,1
Illumination,1
